pers_id;polca_id;id_nl_pdc_num;id_nl_pdc_code;id_nl_pdc_bio_id;id_nl_pdc_slug;id_de_manow;id_de_parliament;id_ch_parliament;id_ie_parliament;id_uk_scotparl;id_no_storting;id_ca_parlinfo;id_us_bioguide;id_us_icpsr;wikidata_id;last_name;first_name;other_name;gender;birth_date;death_date;birth_place_raw;citizenship_canton;hometown_raw;title_raw;military_raw;initials;twitter_screen_name;twitter_id;;;;PolCa-PartyWhenEnteredParliament;PolCa-nonpoliticalprepar;PolCa-politicalprepar;ohmura-career-type;ohmura-mandate
CH_Addor_Jean_1964;;;;;;;;4154;;;;;;;;Addor;Jean-Luc;NA;m;22apr1964;NA;Lausanne (VD);"VD; VS";"Ste-Croix (VD); Saviese (VS)";lic. en droit;Hauptmann;;udcvr64;256863130;;;;;;;;
CH_Addor_Jules_1894;;;;;;;;1364;;;;;;;;Addor;Jules-Henri;NA;m;21sep1894;17dec1953;NA;VD;Vuiteboeuf (VD);NA;NA;;;;;;;;;;;
CH_Ade_Annemarie_1941;;;;;;;;;;;;;;;;Ade;Annemarie;;f;1941;;;;;;;;;;;;;;;;;
CH_Aders_Till_1987;;;;;;;;;;;;;;;;Aders;Till;;m;1987;;;;;;;;;;;;;;;;;
CH_Adir_Asya_1989;;;;;;;;;;;;;;;;Adir;Asya;;f;1989;;;;;;;;;;;;;;;;;
CH_Adir_Cumali_1952;;;;;;;;;;;;;;;;Adir;Cumali;;m;1952;;;;;;;;;;;;;;;;;
CH_Adobati_Abbondio_1940;;;;;;;;;;;;;;;;Adobati;Abbondio;;m;1940;;;;;;;;;;;;;;;;;
CH_Aeberhard_Alice_1945;;;;;;;;;;;;;;;;Aeberhard;Alice;;f;1945;;;;;;;;;;;;;;;;;
CH_Aeberhard_Elsa_1928;;;;;;;;;;;;;;;;Aeberhard;Elsa;;f;1928;;;;;;;;;;;;;;;;;
CH_Aeberhard_Ernst_1918;;;;;;;;;;;;;;;;Aeberhard;Ernst;;m;1918;;;;;;;;;;;;;;;;;
CH_Aeberhard_Hugo_1921;;;;;;;;;;;;;;;;Aeberhard;Hugo;;m;1921;;;;;;;;;;;;;;;;;
CH_Aeberhard_Jakob_1925;;;;;;;;;;;;;;;;Aeberhard;Jakob;;m;1925;;;;;;;;;;;;;;;;;
CH_Aeberhard_Liliane_1950;;;;;;;;;;;;;;;;Aeberhard;Liliane;;f;1950;;;;;;;;;;;;;;;;;
CH_Aeberhard_Max_1952;;;;;;;;;;;;;;;;Aeberhard;Max;;m;1952;;;;;;;;;;;;;;;;;
CH_Aeberhard_Roger_1968;;;;;;;;;;;;;;;;Aeberhard;Roger;;m;1968;;;;;;;;;;;;;;;;;
CH_Aeberhardt_Andreas_1965;;;;;;;;;;;;;;;;Aeberhardt;Andreas;;m;1965;;;;;;;;;;;;;;;;;
CH_Aeberhardt_Maria_1953;;;;;;;;;;;;;;;;Aeberhardt;Maria-Anna;;f;1953;;;;;;;;;;;;;;;;;
CH_Aeberli_Annina_1985;;;;;;;;;;;;;;;;Aeberli;Annina;;f;1985;;;;;;;;;;;;;;;;;
CH_Aeberli_Heinrich_1937;;;;;;;;;;;;;;;;Aeberli;Heinrich;;m;1937;;;;;;;;;;;;;;;;;
CH_Aeberli_Otto_1909;;;;;;;;;;;;;;;;Aeberli;Otto;NA;NA;1909;;;;;;;;;;;;;;;;;
CH_Aeberli_Urs_1966;;;;;;;;;;;;;;;;Aeberli;Urs;;m;1966;;;;;;;;;;;;;;;;;
CH_Aebersold_Andreas_1964;;;;;;;;;;;;;;;;Aebersold;Andreas;;m;1964;;;;;;;;;;;;;;;;;
CH_Aebersold_Charles_1944;;;;;;;;;;;;;;;;Aebersold;Charles;;m;1944;;;;;;;;;;;;;;;;;
CH_Aebersold_Dominik_1971;;;;;;;;;;;;;;;;Aebersold;Dominik;;m;1971;;;;;;;;;;;;;;;;;
CH_Aebersold_Ernst_1887;;;;;;;;1366;;;;;;;;Aebersold;Ernst;NA;m;29mar1887;23nov1958;Luetzelflueh;BE;Rubigen (BE);NA;NA;;;;;;;;;;;
CH_Aebersold_Kurt_1929;;;;;;;;;;;;;;;;Aebersold;Kurt;;m;1929;;;;;;;;;;;;;;;;;
CH_Aebersold_Martin_1931;;;;;;;;;;;;;;;;Aebersold;Martin;;m;1931;;;;;;;;;;;;;;;;;
CH_Aebersold_Martin_1952;;;;;;;;;;;;;;;;Aebersold;Martin;;m;1952;;;;;;;;;;;;;;;;;
CH_Aebersold_Martin_1969;;;;;;;;;;;;;;;;Aebersold;Martin;;m;1969;;;;;;;;;;;;;;;;;
CH_Aebersold_Michael_1962;;;;;;;;;;;;;;;;Aebersold;Michael;;m;1962;;;;;;;;;;;;;;;;;
CH_Aebersold_Regina_1986;;;;;;;;;;;;;;;;Aebersold;Regina;;f;1986;;;;;;;;;;;;;;;;;
CH_Aebersold_Sarah_1975;;;;;;;;;;;;;;;;Aebersold;Sarah;;f;1975;;;;;;;;;;;;;;;;;
CH_Aebersold_Susanne_1953;;;;;;;;;;;;;;;;Aebersold-Stettler;Susanne;;f;1953;;;;;;;;;;;;;;;;;
CH_Aebersold_Valentine_1922;;;;;;;;;;;;;;;;Aebersold-Pache;Valentine;;f;1922;;;;;;;;;;;;;;;;;
CH_Aebi_Alfred_1909;;;;;;;;;;;;;;;;Aebi;Alfred;;m;1909;;;;;;;;;;;;;;;;;
CH_Aebi_Alfred_1933;;;;;;;;;;;;;;;;Aebi;Alfred;;m;1933;;;;;;;;;;;;;;;;;
CH_Aebi_Andreas_1958;;;;;;;;3867;;;;;;;;Aebi;Andreas;NA;m;26nov1958;NA;Burgdorf (BE);BE;Wynigen (BE);Eidg. dipl. Landwirt;Major;;;;;;;;;;;
CH_Aebi_Christoph_1975;;;;;;;;;;;;;;;;Aebi;Christoph;;m;1975;;;;;;;;;;;;;;;;;
CH_Aebi_Doris_1965;;;;;;;;;;;;;;;;Aebi;Doris;;f;1965;;;;;;;;;;;;;;;;;
CH_Aebi_Hans_1937;;;;;;;;;;;;;;;;Aebi;Hans-Ueli;;m;1937;;;;;;;;;;;;;;;;;
CH_Aebi_Hans_1952;;;;;;;;;;;;;;;;Aebi;Hans-Peter;;m;1952;;;;;;;;;;;;;;;;;
CH_Aebi_Heinz_1950;;;;;;;;;;;;;;;;Aebi;Heinz;;m;1950;;;;;;;;;;;;;;;;;
CH_Aebi_Janine_1960;;;;;;;;;;;;;;;;Aebi;Janine;;f;1960;;;;;;;;;;;;;;;;;
CH_Aebi_Jonas_1985;;;;;;;;;;;;;;;;Aebi;Jonas;;m;1985;;;;;;;;;;;;;;;;;
CH_Aebi_Juerg_1953;;;;;;;;;;;;;;;;Aebi-Mattmann;Juerg;;m;1953;;;;;;;;;;;;;;;;;
CH_Aebi_Kaspar_1930;;;;;;;;;;;;;;;;Aebi;Kaspar;;m;1930;;;;;;;;;;;;;;;;;
CH_Aebi_Michel_1988;;;;;;;;;;;;;;;;Aebi;Michel;;m;1988;;;;;;;;;;;;;;;;;
CH_Aebi_Paul_1914;;;;;;;;;;;;;;;;Aebi;Paul;NA;m;1914;;;;;;;;;;;;;;;;;
CH_Aebi_Peter_1928;;;;;;;;;;;;;;;;Aebi;Peter;;m;1928;;;;;;;;;;;;;;;;;
CH_Aebi_Peter_1958;;;;;;;;;;;;;;;;Aebi;Peter;;m;1958;;;;;;;;;;;;;;;;;
CH_Aebi_Pierre_1940;;;;;;;;;;;;;;;;Aebi;Pierre;;m;1940;;;;;;;;;;;;;;;;;
CH_Aebi_Rachel_1976;;;;;;;;;;;;;;;;Aebi;Rachel;;f;1976;;;;;;;;;;;;;;;;;
CH_Aebi_Reto_1957;;;;;;;;;;;;;;;;Aebi;Reto;;m;1957;;;;;;;;;;;;;;;;;
CH_Aebi_Ruth_1946;;;;;;;;;;;;;;;;Aebi;Ruth;;f;1946;;;;;;;;;;;;;;;;;
CH_Aebi_Ulrich_1931;;;;;;;;;;;;;;;;Aebi;Ulrich;;m;1931;;;;;;;;;;;;;;;;;
CH_Aebi_Werner_1906;;;;;;;;;;;;;;;;Aebi;Werner;;;1906;;;;;;;;;;;;;;;;;
CH_Aebischer_Franz_1941;;;;;;;;;;;;;;;;Aebischer;Franz;;m;1941;;;;;;;;;;;;;;;;;
CH_Aebischer_Gertrude_1941;;;;;;;;;;;;;;;;Aebischer;Gertrude;;f;1941;;;;;;;;;;;;;;;;;
CH_Aebischer_Guy_1951;;;;;;;;;;;;;;;;Aebischer;Guy;;m;1951;;;;;;;;;;;;;;;;;
CH_Aebischer_Herbert_1937;;;;;;;;;;;;;;;;Aebischer;Herbert;;m;1937;;;;;;;;;;;;;;;;;
CH_Aebischer_Matthias_1967;;;;;;;;4049;;;;;;;;Aebischer;Matthias;NA;m;18oct1967;NA;Schwarzenburg (BE);BE;Guggisberg (BE);NA;Soldat;;M_Aebischer;280789941;;;;;;;;
CH_Aebischer_Max_1914;;;;;;;;1172;;;;;;;;Aebischer;Max;NA;m;02jan1914;28feb2009;Rechthalten;"FR; FR";"St. Ours (FR); Heitenried (FR)";Dr. en droit;NA;;;;;;;;;;;
CH_Aebischer_Micheline_1966;;;;;;;;;;;;;;;;Aebischer-Schwartz;Micheline;;f;1966;;;;;;;;;;;;;;;;;
CH_Aebischer_Paul_1908;;;;;;;;1367;;;;;;;;Aebischer;Paul;NA;m;02nov1908;27feb1971;Pieterlen BE;BE;Guggisberg (BE);NA;NA;;;;;;;;;;;
CH_Aebischer_Rene_1971;;;;;;;;;;;;;;;;Aebischer;Rene;;m;1971;;;;;;;;;;;;;;;;;
CH_Aebischer_Susanne_1976;;;;;;;;;;;;;;;;Aebischer;Susanne;;f;1976;;;;;;;;;;;;;;;;;
CH_Aebischer_Werner_1947;;;;;;;;;;;;;;;;Aebischer;Werner;;m;1947;;;;;;;;;;;;;;;;;
CH_Aebli_Heinrich_1933;;;;;;;;;;;;;;;;Aebli;Heinrich;;m;1933;NC;NC;;;;;;;;;;;;;;;
CH_Aebli_Willi_1913;;;;;;;;;;;;;;;;Aebli;Willi;NA;m;1913;;;;;;;;;;;;;;;;;
CH_Aeby_Christophe_1986;;;;;;;;;;;;;;;;Aeby;Christophe;;m;1986;;;;;;;;;;;;;;;;;
CH_Aeby_Gerhard_1919;;;;;;;;;;;;;;;;Aeby;Gerhard;;;1919;;;;;;;;;;;;;;;;;
CH_Aeby_Nicole_1960;;;;;;;;;;;;;;;;Aeby-Egger;Nicole;;f;1960;;;;;;;;;;;;;;;;;
CH_Aeby_Pierre_1884;;;;;;;;1369;;;;;;;;Aeby;Pierre;NA;m;06may1884;04feb1957;NA;FR;Freiburg (FR);NA;NA;;;;;;;;;;;
CH_Aeby_Pierre_1950;;;;;;;;369;;;;;;;;Aeby;Pierre;NA;m;14feb1950;NA;Bern (BE);FR;Duedingen (FR);Licencié en droit;Soldat;;;;;;;;;;;
CH_Aeby_Yvan_1957;;;;;;;;;;;;;;;;Aeby-Metry;Yvan;;m;1957;;;;;;;;;;;;;;;;;
CH_Aegerter_Desiree_1988;;;;;;NA;;;;;;;;;;Aegerter;Desiree;;;1988;;;;;;;;;;;;;;;;;
CH_Aegerter_Dori_1942;;;;;;;;;;;;;;;;Aegerter;Dori;;f;1942;;;;;;;;;;;;;;;;;
CH_Aegerter_Elisabeth_1941;;;;;;;;;;;;;;;;Aegerter-Glaser;Elisabeth;;f;1941;;;;;;;;;;;;;;;;;
CH_Aegerter_Ernst_1899;;;;;;;;;;;;;;;;Aegerter;Ernst;NA;NA;1899;;;;;;;;;;;;;;;;;
CH_Aegerter_Irene_1940;;;;;;;;;;;;;;;;Aegerter-Merk;Irene;;f;1940;;;;;;;;;;;;;;;;;
CH_Aegerter_Isabelle_1966;;;;;;;;;;;;;;;;Aegerter;Isabelle;;f;1966;;;;;;;;;;;;;;;;;
CH_Aegler_Claire_1923;;;;;;;;;;;;;;;;Aegler-Thiebaud;Claire;;f;1923;;;;;;;;;;;;;;;;;
CH_Aellen_Florisse_1986;;;;;;;;;;;;;;;;Aellen;Florisse;;f;1986;;;;;;;;;;;;;;;;;
CH_Aellen_Jean_1945;;;;;;;;;;;;;;;;Aellen;Jean-Pierre;;m;1945;;;;;;;;;;;;;;;;;
CH_Aellig_Guido_1946;;;;;;;;;;;;;;;;Aellig;Guido;;m;1946;;;;;;;;;;;;;;;;;
CH_Aellig_Hans_1933;;;;;;;;;;;;;;;;Aellig;Hans-Peter;;m;1933;;;;;;;;;;;;;;;;;
CH_Aellig_Jakob_1922;;;;;;;;;;;;;;;;Aellig;Jakob;;m;1922;;;;;;;;;;;;;;;;;
CH_Aellig_Pentti_1962;;;;;;;;;;;;;;;;Aellig;Pentti;;m;1962;;;;;;;;;;;;;;;;;
CH_Aellig_Simon_1988;;;;;;;;;;;;;;;;Aellig;Simon;;m;1988;;;;;;;;;;;;;;;;;
CH_Aemisegger_Andreas_1951;;;;;;;;;;;;;;;;Aemisegger;Andreas;;m;1951;;;;;;;;;;;;;;;;;
CH_Aepli_Elsbeth_1964;;;;;;;;;;;;;;;;Aepli;Elsbeth;;f;1964;;;;;;;;;;;;;;;;;
CH_Aepli_Silvia_1957;;;;;;;;;;;;;;;;Aepli;Silvia;;f;1957;;;;;;;;;;;;;;;;;
CH_Aepli_Thomas_1964;;;;;;;;;;;;;;;;Aepli;Thomas;;m;1964;;;;;;;;;;;;;;;;;
CH_Aepli_Vreni_1937;;;;;;;;;;;;;;;;Aepli-Germann;Vreni;;f;1937;;;;;;;;;;;;;;;;;
CH_Aeppli_Regina_1952;;;;;;;;;;;;;;;;Aeppli;Regina;;;1952;;;;;;;;;;;;;;;;;
CH_Aeppli_Regine_1952;;;;;;;;298;;;;;;;;Aeppli-Wartmann;Regine;NA;f;05oct1952;NA;Winterthur (ZH);"ZH; ZH; ZH";"Zuerich (ZH); Staefa (ZH); Bauma (ZH)";Lie. iur.;NA;;;;;;;;;;;
CH_Aeppli_Verena_1950;;;;;;;;;;;;;;;;Aeppli-Kobel;Verena;;f;1950;;;;;;;;;;;;;;;;;
CH_Aerne_Heinz_1959;;;;;;;;;;;;;;;;Aerne;Heinz;;m;1959;;;;;;;;;;;;;;;;;
CH_Aerne_Jakob_1944;;;;;;;;;;;;;;;;Aerne;Jakob;;m;1944;;;;;;;;;;;;;;;;;
CH_Aerne_Margrit_1960;;;;;;;;;;;;;;;;Aerne-Haemmerli;Margrit;;f;1960;;;;;;;;;;;;;;;;;
CH_Aerne_Werner_1922;;;;;;;;;;;;;;;;Aerne;Werner;NA;NA;1922;;;;;;;;;;;;;;;;;
